TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species
AI_character | Artificial intelligence character
alien | Extraterrestrial character
alligator | Alligator species character
alpaca | Smaller South American camelid
amphibian | Amphibian classification character
android | Humanoid robot character
angel | Angelic or celestial character
anteater | Long-snouted insectivore
antelope | Slender horned ungulate
anthro | Anthropomorphic character with human and animal traits
ape | Great ape species (general)
arctic_fox | White-furred fox species
armadillo | Armored mammal species
arthropod | Arthropod classification character
avian | Bird family species
axolotl | Aquatic salamander with external gills
baboon | Large ground-dwelling primate
badger | Badger species character
basilisk | Giant serpent with a deadly gaze
bat | Bat species character
bear | Bear species character
bearded_dragon | Australian lizard species
beaver | Dam-building rodent species
bee | Bee species character
behemoth | Enormous land creature
beluga | White Arctic whale
bengal_cat | Bengal cat breed
beta_fish | Siamese fighting fish
binturong | Bearcat viverrid species
bird | Bird species character
bison | Large bovine species
black_bear | North American black bear
black_jaguar | Melanistic jaguar variant
black_panther | Black panther species character
blue_tongue_lizard | Australian skink species
boa | Boa constrictor snake species
boar | Wild boar/male pig character
bobcat | Bobcat species character
border_collie | Border Collie dog breed
bovine | Bovine/cattle family species
buffalo | Large bovine/bison species
bull | Male bovine character
bunny | Bunny/rabbit species character (casual term)
bunny_boy | Male humanoid with rabbit ears and tail
bunny_girl | Humanoid with rabbit ears and tail
calico | Calico-patterned cat
camel | Desert-adapted ungulate
canine | Dog/wolf family species
caprine | Goat family species
capybara | World's largest rodent species
caracal | Tufted-ear wild cat species
caribou | Reindeer species
cat | Domestic cat species character
cat_boy | Male humanoid with cat ears and tail
cat_girl | Humanoid with cat ears and tail (nekomimi)
centaur | Centaur species (human upper, horse lower)
cerberus | Three-headed dog from Greek mythology
cervine | Deer family species
cetacean | Whale/dolphin family species
chameleon | Chameleon species character
cheetah | Cheetah species character
chimera | Multi-species chimera character
chimpanzee | African great ape
chinchilla | Soft-furred rodent species
chipmunk | Small striped rodent
chiropteran | Bat family species
civet | Small nocturnal viverrid
clouded_leopard | Small Southeast Asian big cat
clownfish | Orange and white tropical fish
coati | South American procyonid
cockatrice | Rooster-serpent hybrid creature
corgi | Welsh Corgi dog breed
cougar | Mountain lion/puma species
coyote | Coyote species character
crab | Crustacean species
crocodile | Crocodile species character
crow | Crow/raven species character
crystal_creature | Creature made of or infused with crystals
cub | Young animal character (general)
dalmatian | Dalmatian dog breed
deer | Deer species character
demon | Demonic or infernal character
dingo | Australian wild dog species
dinosaur | Dinosaur species character (general)
dire_wolf | Oversized wolf species
direwolf | Oversized prehistoric wolf
doberman | Doberman breed canine character
doe | Female deer character
dog | Domestic dog species character
dog_boy | Male humanoid with dog ears and tail
dog_girl | Humanoid with dog ears and tail
dolphin | Dolphin species character
donkey | Domestic ass species
dragon | Dragon species character
dragoness | Female dragon character
drake | Male dragon or wingless dragon variant
dromaeosaur | Raptor dinosaur species (e.g. velociraptor)
dryad | Tree or nature spirit character
eagle | Eagle species character
eastern_dragon | Asian-style serpentine dragon
elemental | Character embodying a natural element
elk | Large deer species
equine | Horse family species
ermine | White-phase stoat
fairy | Small winged magical creature
fallow_deer | Spotted European deer species
faun | Deer-featured nature spirit character
fawn | Young deer character
feline | Cat family species
fennec_fox | Large-eared desert fox species
fenrir | Giant wolf from Norse mythology
ferret | Ferret species character
fisher | Large North American mustelid
flying_squirrel | Gliding squirrel species
foal | Young horse character
fox | Fox species character
fox_boy | Male humanoid with fox ears and tail
fox_girl | Humanoid with fox ears and tail
frog | Frog species character
fungus_creature | Sentient mushroom or fungal character
furry | Anthropomorphic animal character in furry fandom context
gazelle | Graceful antelope species
gecko | Gecko species character
gerbil | Small desert rodent species
german_shepherd | German Shepherd breed canine character
ghost | Spectral or incorporeal character
giant_otter | Large South American otter
giraffe | Long-necked African ungulate
goat | Goat species character
golden_retriever | Golden Retriever dog breed
golem | Magically animated construct character
