TAG DATABASE: KINK & FETISH
========================================
Total tags: 1337
Categories: 7
Last updated: 2026-02-26

================================================================================
BDSM, POWER & CONSENT
================================================================================
aftercare | Emotional/physical care given after intense sexual activity | kink:bdsm
aphrodisiac | Substance that induces or heightens sexual arousal | kink:bdsm
ass_worship | Devoted attention to a partner's buttocks | kink:bdsm
auction | Selling or bidding on submissives in a scene | kink:bdsm
bdsm | Bondage, discipline, dominance, submission, sadism, masochism | kink:bdsm
biological_compulsion | Sexual drive caused by biological/hormonal imperative | kink:bdsm
blackmail | Using threats or leverage to coerce sexual compliance | kink:bdsm
blindfold | A covering placed over the eyes to remove the sense of sight during sexual activity, heightening every remaining sense — touch, sound, smell — to compensate for the lost visual input. The blindfolded partner becomes hyperaware of every brush, breath, and whisper while losing the ability to anticipate what comes next. | kink:bdsm
bondage | Physical restraint of a partner during sexual activity using rope, cuffs, chains, straps, or any material that restricts movement and removes the ability to resist. Bondage ranges from light wrist-tying to elaborate full-body suspension, but the core appeal is always the same: one partner bound and helpless, the other in total control. | kink:bdsm
boot_worship | Devoted attention to a dominant's boots | kink:bdsm
branding_ceremony | Formal ritual of branding a submissive | kink:bdsm
brat | Submissive who deliberately misbehaves for attention | kink:bdsm
brat_tamer | Dominant who specialises in handling brats | kink:bdsm
breath_play | Restricting breathing for heightened sensation | kink:bdsm
cage_play | Confining a submissive inside an actual cage as part of BDSM play — the locked bars removing freedom of movement and reducing them to a kept, caged creature. The visual of a person behind bars, the cramped space, and the dominant's ability to leave them locked up creates a potent dynamic of captivity and ownership. | kink:bdsm
caning | Impact play using a thin, rigid cane — typically rattan, bamboo, or synthetic — that delivers sharp, stinging strikes leaving distinct welts or tramlines across the skin. The cane's severity and precision make it one of the most feared and respected tools in impact play, with each stroke building on the last. | kink:bdsm
caregiver | Dominant who provides nurturing care | kink:bdsm
cbt | Cock and ball torture | kink:bdsm
chastity | The denial of sexual access or release as a power dynamic, often enforced through physical devices that prevent touching, erection, or orgasm without the keyholder's permission. The denied partner's arousal builds with no outlet, creating desperation and obedience as the keyholder controls when — or if — release is granted. | kink:bdsm
chastity_cage | Device preventing sexual arousal or access to genitals | kink:bdsm
choking | A hand or object wrapped around the throat during sex, applying controlled pressure to restrict airflow or blood flow for heightened sensation and dominance display. The primal vulnerability of a hand on the throat — and the trust required to allow it — makes choking one of the most intimate and intense power exchanges. | kink:bdsm
chore_play | Submissive performing domestic tasks as service | kink:bdsm
cnc | Consensual non-consent roleplay | kink:bdsm
coaching | Guiding or instructing someone through sexual activity | kink:bdsm
cock_and_ball_torture | Specific torment to testicles and shaft | kink:bdsm
coercion | Pressuring, manipulating, or leveraging power to push someone into sexual acts they're reluctant to perform, using threats, guilt, authority, or circumstances rather than physical force. The psychological dimension — the victim knowing they could say no but feeling they can't — is what distinguishes coercion from direct force. | kink:bdsm
collar | Neck collar worn as symbol of ownership/submission | kink:bdsm
collar_ceremony | Formal ritual of placing a collar on a submissive | kink:bdsm
collaring | Act of placing a collar as a claiming/ownership ritual | kink:bdsm
