TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | Painted dog species | species:canid
AI_character | A character who is an artificial intelligence rather than a biological being, whether disembodied or housed in a body. | species:other
alien | An extraterrestrial character, biologically and often visually distinct from Earth species. | species:other
alligator | Alligator species character | species:reptile
alpaca | Domesticated South American camelid resembling a small llama, with a long neck, soft fleece, and gentle expressive face. | species:other
amphibian | Amphibian classification character | species:amphibian
android | A humanoid robot built to pass as organic, synthetic skin over mechanical skeleton. | species:other
angel | A celestial angelic character, typically winged, with halo, aura, or holy framing. | species:mythical
anteater | A long-snouted insectivore with sticky tongue, powerful forelimbs, and shaggy fur. | species:other
antelope | Slender horned ungulate | species:bovid
anthro | An anthropomorphic character combining human and animal traits, bipedal with animal features. | species:other
ape | Great ape species (general) | species:primate
arctic_fox | White-furred fox species | species:canid
armadillo | An armoured mammal with banded keratin plating covering the back, defensive and curl-prone. | species:other
arthropod | Arthropod classification character | species:insect
avian | Bird family species | species:avian
axolotl | Aquatic salamander with external gills | species:amphibian
baboon | Large ground-dwelling primate | species:primate
badger | Badger species character | species:mustelid
basilisk | Giant serpent with a deadly gaze | species:reptile
bat | A small flying mammal with leathery wings, the anthro variant sharp-eared and fanged. | species:other
bear | Bear species character | species:ursid
bearded_dragon | Australian lizard species with spiny throat-beard display, reptilian anthro subject. | species:mythical
beaver | Dam-building rodent species | species:rodent
bee | Bee species character | species:insect
behemoth | An enormous land creature of fantasy or biblical framing, usually massive and quadrupedal. | species:mythical
beluga | White Arctic whale | species:marine
bengal_cat | Bengal cat breed | species:felid
beta_fish | Siamese fighting fish | species:fish
binturong | A Southeast Asian viverrid known as the bearcat, bushy tailed and popcorn-scented. | species:other
bird | Bird species character | species:avian
bison | Large bovine species | species:bovid
black_bear | North American black bear | species:ursid
black_jaguar | Melanistic jaguar variant | species:felid
black_panther | Black panther species character | species:felid
blue_tongue_lizard | Australian skink species | species:reptile
boa | Boa constrictor snake species | species:reptile
boar | A wild pig species with tusks and coarse bristles, more aggressive than domestic pig form. | species:other
bobcat | Bobcat species character | species:felid
border_collie | Border Collie dog breed | species:canid
bovine | Bovine/cattle family species | species:bovid
buffalo | Large bovine/bison species | species:bovid
bull | Male bovine character | species:bovid
bunny | Bunny/rabbit species character (casual term) | species:lagomorph
bunny_boy | Male humanoid with rabbit ears and tail | species:lagomorph
bunny_girl | Humanoid with rabbit ears and tail | species:lagomorph
calico | A cat character with tricolour patched fur, white, orange, and black or grey across the body. | species:other
camel | A large desert-adapted ungulate with one or two humps, long-legged and shaggy. | species:other
canine | Dog/wolf family species | species:canid
caprine | Goat family species | species:bovid
capybara | World's largest rodent species | species:rodent
caracal | Tufted-ear wild cat species | species:felid
caribou | Reindeer species | species:cervid
cat | Domestic cat species character | species:felid
cat_boy | Male humanoid with cat ears and tail | species:felid
cat_girl | Humanoid with cat ears and tail (nekomimi) | species:felid
centaur | Mythological creature with a human upper body and a horse's lower body. | species:mythical
cerberus | Three-headed dog from Greek mythology, guardian of the underworld. | species:mythical
cervine | Deer family species | species:cervid
cetacean | Whale/dolphin family species | species:marine
chameleon | Chameleon species character | species:reptile
cheetah | Cheetah species character | species:felid
chimera | A multi-species hybrid creature, combining parts of lion, goat, serpent, or others into one body. | species:mythical
chimpanzee | African great ape | species:primate
chinchilla | Soft-furred rodent species | species:rodent
chipmunk | Small striped rodent | species:rodent
chiropteran | A member of the bat family, formal taxonomy term for bat-derived anthros. | species:other
civet | A small nocturnal viverrid, slender and cat-like with musky scent glands. | species:other
clouded_leopard | Small Southeast Asian big cat | species:felid
clownfish | Orange and white tropical fish | species:fish
coati | A South American procyonid with a long ringed tail and an inquisitive upturned snout. | species:other
cockatrice | Mythological hybrid of rooster and serpent, said to kill with its gaze. | species:mythical
corgi | Welsh Corgi dog breed | species:canid
cougar | Mountain lion/puma species | species:felid
coyote | Coyote species character | species:canid
crab | Crustacean species | species:insect
crocodile | Crocodile species character | species:reptile
crow | Crow/raven species character | species:avian
crystal_creature | A creature whose body is composed of or studded with crystal, refractive in place of skin or fur. | species:other
cub | A young animal character, the juvenile form of an anthro species. | species:other
dalmatian | Dalmatian dog breed | species:canid
deer | Deer species character | species:cervid
demon | Infernal or demonic character, horns and dark aesthetics typical but variable. | species:mythical
dingo | Australian wild dog species | species:canid
dinosaur | A dinosaur species character, general tag when a more specific dinosaur tag doesn't fit. | species:other
dire_wolf | Oversized wolf species | species:canid
direwolf | An oversized prehistoric wolf species, bulkier and more muscular than modern wolves. | species:other
doberman | Doberman breed canine character | species:canid
doe | Female deer character | species:cervid
dog | Domestic dog species character | species:canid
dog_boy | Male humanoid with dog ears and tail | species:canid
dog_girl | Humanoid with dog ears and tail | species:canid
dolphin | Dolphin species character | species:marine
donkey | Domestic ass species | species:equid
dragon | General tag for a dragon character, the classic fantasy reptile with optional wings, fire, and scales. | species:mythical
dragoness | A female dragon character, species marker combined with gender. | species:other
drake | A male dragon or specifically a wingless dragon variant, smaller or grounded form. | species:mythical
dromaeosaur | A raptor-family dinosaur like a velociraptor, feathered and swift with sickle-clawed feet. | species:other
dryad | A nature spirit linked to trees or forests, typically female and plant-fused. | species:mythical
eagle | Eagle species character | species:avian
eastern_dragon | Asian-style serpentine dragon, long-bodied with antlered head and minimal wings. | species:mythical
elemental | A creature embodying a natural element — fire, water, earth, or air — as its entire form. | species:mythical
elk | Large deer species | species:cervid
equine | Horse family species | species:equid
ermine | A stoat in its white winter coat, the pure-white fur with black tail tip the seasonal phase. | species:other
fairy | A small winged magical creature, typically humanoid with insect-style wings. | species:mythical
fallow_deer | Spotted European deer species | species:cervid
faun | A nature spirit with human upper body and deer legs, hooves, and small antlers. | species:mythical
fawn | Young deer character | species:cervid
feline | Cat family species | species:felid
fennec_fox | Large-eared desert fox species | species:canid
fenrir | The giant wolf from Norse mythology, cosmic beast foretold to kill Odin at Ragnarok. | species:other
ferret | Ferret species character | species:mustelid
fisher | A large North American mustelid, dark-furred and predatory, despite the name not a fish eater. | species:other
flying_squirrel | Gliding squirrel species | species:rodent
foal | Young horse character | species:equid
fox | Fox species character | species:canid
fox_boy | Male humanoid with fox ears and tail | species:canid
fox_girl | Humanoid with fox ears and tail | species:canid
frog | Frog species character | species:amphibian
fungus_creature | A sentient mushroom or fungal character, caps, stalks, or spore bodies replacing normal anatomy. | species:other
furry | An anthropomorphic animal character drawn specifically within the furry fandom aesthetic. | species:other
gazelle | Graceful antelope species | species:bovid
gecko | Gecko species character | species:reptile
gerbil | Small desert rodent species | species:rodent
german_shepherd | German Shepherd breed canine character | species:canid
ghost | An incorporeal spectral character, see-through, floating, and tethered to the living world. | species:mythical
giant_otter | Large South American otter | species:mustelid
giraffe | A long-necked African ungulate with dappled ochre coat, towering and graceful. | species:other
goat | Goat species character | species:bovid
golden_retriever | Golden Retriever dog breed | species:canid
golem | A magically animated construct character, formed from stone, clay, metal, or similar inanimate material. | species:other
gorilla | Large ground-dwelling ape | species:primate
great_dane | A very large short-haired dog breed, long-legged and dignified despite the scale. | species:other
great_white | Great white shark species | species:fish
grey_fox | Grey fox species | species:canid
grey_wolf | Grey wolf subspecies character | species:canid
griffin | A hybrid creature with eagle front and lion rear, classical heraldic beast. | species:mythical
grizzly_bear | North American brown bear | species:ursid
gryphon | A hybrid creature with eagle front and lion rear, alternate spelling of griffin. | species:mythical
guinea_pig | Cavy rodent species | species:rodent
hammerhead | Hammerhead shark species | species:fish
hamster | Small round rodent species | species:rodent
harpy | A bird-woman hybrid with human head and chest, avian wings, legs, and talons. | species:mythical
hatchling | A newly hatched young of a reptile or bird species, still small with softer features. | species:other
hawk | Hawk species character | species:avian
hedgehog | A small spined mammal with a belly that curls inward when threatened. | species:other
hellcat | A demonic or infernal feline species, fire-eyed and often flame-breathing. | species:other
hellhound | A demonic or infernal canine species, black-coated with burning eyes and sometimes fire breath. | species:other
hippo | A large semi-aquatic African ungulate with a massive jaw and smooth grey-purple skin. | species:other
hippogriff | A mythological hybrid with eagle front and horse rear, rare and noble beast. | species:mythical
honey_badger | Aggressive mustelid species | species:mustelid
horse | Horse species character | species:equid
huldra | A Scandinavian forest spirit appearing as a beautiful woman with a cow's tail or hollow back. | species:other
humpback | A humpback whale species, distinguished by long pectoral fins and characteristic breaching. | species:other
husky | Husky breed canine character | species:canid
hybrid | A cross-species hybrid character, blended features from two or more species in one body. | species:other
hydra | A multi-headed serpent creature, classical mythology's many-headed swamp beast. | species:mythical
hyena | A hyena species character, powerful-jawed scavenger-predator with sloping spine and laughing call. | species:other
hyena_cub | A young hyena character, the juvenile form of the species with softer features. | species:other
ibex | A wild mountain goat species with heavily curved ridged horns, sure-footed and alpine. | species:other
iguana | Large herbivorous lizard species | species:reptile
imp | A small mischievous demon, often winged, horned, and pointy-tailed, infernal but minor. | species:other
incubus | A male demon that seduces and feeds on sexual energy from sleeping partners. | species:mythical
